# x0 x1
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
-4.912043204283829901e-06 0.000000000000000000e+00
-1.160948543627570719e-05 0.000000000000000000e+00
-2.019642218978130171e-05 0.000000000000000000e+00
-3.111441656969928844e-05 0.000000000000000000e+00
-4.242789602935484483e-05 0.000000000000000000e+00
-4.127450322511484271e-05 0.000000000000000000e+00
-4.854812717841864471e-05 0.000000000000000000e+00
-5.692779520634594055e-05 0.000000000000000000e+00
-7.144570975350319380e-05 0.000000000000000000e+00
-7.825057097620994793e-05 0.000000000000000000e+00
-8.479092899137250958e-05 0.000000000000000000e+00
-6.868642265806856396e-05 0.000000000000000000e+00
-7.419012550710327874e-05 0.000000000000000000e+00
-6.990195045429453973e-05 0.000000000000000000e+00
-6.691879269348300957e-05 0.000000000000000000e+00
-6.192305952205495170e-05 0.000000000000000000e+00
-5.588753597368603546e-05 0.000000000000000000e+00
-4.254034518066693673e-05 0.000000000000000000e+00
-5.355693060940170031e-05 0.000000000000000000e+00
-4.842055399616366178e-05 3.568301145526303700e-10
-5.720467962380263230e-05 9.062378267661561271e-10
-4.541736751111287337e-05 1.391622409290815442e-09
-3.326352942109286529e-05 1.787519149643943604e-09
-1.561925240133420545e-05 1.635839396914211228e-09
-6.410585960538887418e-06 1.851457403515090088e-09
-7.517573427473347514e-06 2.149584064404263435e-09
4.729624924798102174e-06 2.236123080006707605e-09
1.143559236138759038e-05 2.360596149863689640e-09
1.624059895757551687e-05 2.496357759443552914e-09
8.781788844281782568e-05 1.333469713154167990e-09
1.010454458958967089e-04 1.267088490678451997e-09
1.641369255443845979e-04 7.320336969870450198e-10
1.542033459538337504e-04 1.836001981795501397e-09
1.562826397728937799e-04 3.568332159907593097e-09
1.591727889562672468e-04 5.413409371839863621e-09
1.900490730647753901e-04 4.601616889254492801e-09
9.904696169910794904e-05 9.536109395714443710e-09
7.134361937354599301e-05 1.216726355659299129e-08
7.148485669048201764e-05 1.304891744962985743e-08
6.246092007294884061e-05 1.425030164360812685e-08
5.312512788945187393e-05 1.579491820358641746e-08
6.980486924884649763e-05 1.506599921655123600e-08
7.691971481478321110e-05 1.653856282027747873e-08
1.365211787908887132e-04 1.422416500928072345e-08
1.463457993886733207e-04 1.547040132772255731e-08
1.336834172571435509e-04 1.929131261783700597e-08
1.205035859345067597e-04 2.304847448419582736e-08
1.543491573904369149e-04 1.988385196134797455e-08
1.712863239045127892e-04 1.970018765207980550e-08
1.856323885342345715e-04 1.977611880291412688e-08
1.818790978909622341e-04 2.173137091561973616e-08
2.280216550092030090e-04 1.747500427552520370e-08
2.721914750161047621e-04 1.318048821480626299e-08
2.811258665907389633e-04 1.222162236712684216e-08
2.792962913200561356e-04 1.340500085227135462e-08
2.724830236972682279e-04 1.522967617518341438e-08
2.620103950113491175e-04 1.746404171308742183e-08
2.731407668524518228e-04 1.667460603227891906e-08
2.870403373975377679e-04 1.532910726621453971e-08
3.181149370536010923e-04 1.101946654040094281e-08
3.450495726060718205e-04 7.620132190340997623e-09
3.368690014391144015e-04 9.258203281726309261e-09
3.545830423530270674e-04 7.600632180946185678e-09
3.457254238965977965e-04 9.987973666286222305e-09
3.348719154398085247e-04 1.277710033701091908e-08
3.759993206747546703e-04 6.517176691126076503e-09
3.559479044047116699e-04 1.039302111392212396e-08
3.408746972833709248e-04 1.359840991262937742e-08
3.201620839889416986e-04 1.760088166598885471e-08
3.312159701024876995e-04 1.630567308502326693e-08
3.434864902640461003e-04 1.469861524681451629e-08
3.654500741605752156e-04 1.108300640580708362e-08
3.692820821859375455e-04 1.073492702721855977e-08
3.625603822253288056e-04 1.220090628225371952e-08
3.506421374538592974e-04 1.452473803806880251e-08
3.375354611262954864e-04 1.702839859443479503e-08
3.252431295760352479e-04 1.936880702642795498e-08
3.575468415281296596e-04 1.379535473682172761e-08
3.463674339192366280e-04 1.587459819295584158e-08
3.770042026860854286e-04 1.067868816933839404e-08
3.946214058263841640e-04 7.722779420899285515e-09
3.898190140757715975e-04 8.708239276180986321e-09
3.833501617706680628e-04 9.984345321897721894e-09
3.999573396550521777e-04 7.065133258777441973e-09
4.078835402428693723e-04 5.748992856757545407e-09
4.392650715808689888e-04 2.731232482190741294e-10
4.242914723418013401e-04 3.431458101861066083e-09
4.120111235636788162e-04 6.330843451716831034e-09
4.010165578981999385e-04 9.395700743271175191e-09
4.328928087166701707e-04 3.591992516299678437e-09
4.607860762197661512e-04 -7.871838637697850603e-10
4.847907839749724767e-04 -4.373310214590124452e-09
4.902614231790901594e-04 -4.318032986649165898e-09
4.668357185034295218e-04 1.599875075736261203e-09
4.431308419047695537e-04 7.549934850434727769e-09
4.695587477266684705e-04 2.165303629292891475e-09
4.581128776128659454e-04 5.243837576447709599e-09
4.643194480142897674e-04 4.619542689479072404e-09
4.750692359755216221e-04 2.861645390656365207e-09
4.699054704372905306e-04 4.535544394009846267e-09
4.638595443545743885e-04 6.368682092345706765e-09
5.009189827841965164e-04 -1.709828089752236297e-09
5.076357696170563779e-04 -2.864442144653343936e-09
5.265830115269683545e-04 -6.706402312883129417e-09
5.257740394870468901e-04 -5.743204324641874545e-09
5.317520469664315311e-04 -6.144599037491191314e-09
5.395867297732538648e-04 -7.050144932261906831e-09
5.707890702903053006e-04 -1.414463642735916436e-08
5.569745353379563753e-04 -1.025051165769502560e-08
5.541240398292312987e-04 -8.871726100593174864e-09
5.986084615218979950e-04 -1.895940046671527274e-08
5.876358545098142334e-04 -1.578725187200562751e-08
5.742463044158433805e-04 -1.201911290219650157e-08
5.778522250620705524e-04 -1.269738072906020991e-08
5.774138653637693941e-04 -1.117096663316921681e-08
5.563878126922086522e-04 -3.853078207262559690e-09
5.429581034698233817e-04 2.412290248945637776e-09
5.682783962556491389e-04 -1.509726441627497479e-09
5.934293722118102283e-04 -5.722205561989615773e-09
6.280057235368154784e-04 -1.539104678129635812e-08
6.396973834770171199e-04 -1.604916913264470235e-08
6.513721427935428290e-04 -1.643437685950928021e-08
6.587649449402885023e-04 -1.540004098815030893e-08
6.667137379009230747e-04 -1.472222984394979658e-08
6.727529509902327280e-04 -1.363152622709984514e-08
7.083572084961654901e-04 -2.592441261276068062e-08
7.112190728975740671e-04 -2.503101183017268478e-08
6.804707375423070352e-04 -1.124195180504028299e-08
6.705171702768988407e-04 -5.434053217662319077e-09
6.797616118359461369e-04 -7.077645050092595354e-09
6.896337812535086520e-04 -9.106737756105663327e-09
7.137934160312665128e-04 -1.845329420835988201e-08
7.220943023490460294e-04 -2.048561960870905060e-08
6.799306067923357013e-04 -1.596002212854115970e-09
6.769107947969102207e-04 1.051858486735591083e-09
6.925426046038681482e-04 -4.539948781734905628e-09
7.092833696274395555e-04 -1.085078363444221205e-08
7.408175786723879535e-04 -2.419499248333264006e-08
