# x0 x1
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
2.078089933529330313e-05 0.000000000000000000e+00
1.228960087151444411e-05 0.000000000000000000e+00
3.068120342722718450e-05 0.000000000000000000e+00
3.547856832520622673e-05 0.000000000000000000e+00
4.603857242865537513e-05 0.000000000000000000e+00
4.617822337555473804e-05 0.000000000000000000e+00
5.069123778707012424e-05 0.000000000000000000e+00
6.345172536988717487e-05 0.000000000000000000e+00
7.483303276835918624e-05 0.000000000000000000e+00
8.021946790095879469e-05 0.000000000000000000e+00
9.319181970895755397e-05 0.000000000000000000e+00
9.340673140293880375e-05 0.000000000000000000e+00
1.084505465658346991e-04 0.000000000000000000e+00
1.187562801821502123e-04 0.000000000000000000e+00
1.381772857898736070e-04 0.000000000000000000e+00
1.568486959599100497e-04 0.000000000000000000e+00
1.766415876786595930e-04 0.000000000000000000e+00
1.772061228051118747e-04 0.000000000000000000e+00
1.858842458788952719e-04 0.000000000000000000e+00
1.939737040368834061e-04 0.000000000000000000e+00
2.127607151068983821e-04 -3.377395994256518056e-09
2.231427189063418044e-04 -5.243799219012174157e-09
2.448923516118519652e-04 -9.153794380157407255e-09
2.451294459954363463e-04 -9.196417531780316359e-09
2.541516061664164726e-04 -1.081835768540288058e-08
2.707820289917531819e-04 -1.380805749575379448e-08
2.829027910036459618e-04 -1.598704237598522936e-08
3.032248676867022150e-04 -1.964040161064677879e-08
3.211553856102829056e-04 -2.286382332389101795e-08
3.215131214750166738e-04 -2.292813454785585945e-08
3.557269710957991537e-04 -2.907885848295563386e-08
3.751437052907779113e-04 -3.256946164741166362e-08
4.184210765865236195e-04 -4.831875848932354165e-08
4.306431365119209385e-04 -5.276655289137493815e-08
4.525319876253679294e-04 -6.484899848315914045e-08
4.530519099057618983e-04 -6.513599082607646393e-08
4.668672584598807635e-04 -7.276193685547449690e-08
4.416293752041662080e-04 -5.883085615559977997e-08
4.461648682499397517e-04 -6.133440682956866533e-08
4.583731249306895292e-04 -6.807325284534141361e-08
4.665646645255685653e-04 -7.259490777163715762e-08
4.667652346763024869e-04 -7.274625278747011580e-08
4.740218011748872635e-04 -7.970759921840673342e-08
4.870257309325654298e-04 -9.245945649712263822e-08
5.221753536208554106e-04 -1.269277272640526207e-07
5.376971106795977147e-04 -1.421486054459818597e-07
5.466252967708523777e-04 -1.509037246226501779e-07
5.468387416957160322e-04 -1.511130320604360604e-07
5.613364718889153745e-04 -1.653297334525556182e-07
5.809302605788894220e-04 -1.845437096566595572e-07
6.009230931044969373e-04 -2.041489944985961922e-07
6.132327551217447688e-04 -2.162200419525775965e-07
6.475279717599345198e-04 -2.498504687591065144e-07
6.489969218747971939e-04 -2.512909442586932907e-07
6.531899060544648370e-04 -2.554026502450675444e-07
6.653405625965011201e-04 -2.673177744386026724e-07
6.766847257746674577e-04 -2.784420386025972695e-07
6.866724827349356174e-04 -2.882361895758167414e-07
7.054568835973002838e-04 -3.066564673938839423e-07
7.058460305136493237e-04 -3.070380709575917262e-07
7.182339426597768219e-04 -3.191858517140523999e-07
7.409934780508996592e-04 -3.415042087373297385e-07
7.506161279591256740e-04 -3.509403300144609937e-07
7.725020031392915588e-04 -3.768373959901177281e-07
7.830784716879096372e-04 -3.893522943681017641e-07
7.833333197804337846e-04 -3.896538504087690359e-07
7.994921771359636206e-04 -4.087742644467061012e-07
8.019000835695652522e-04 -4.116234862055279608e-07
8.092064977907230611e-04 -4.202690025293291232e-07
8.132149332250607427e-04 -4.250120944115435483e-07
8.302697003010289876e-04 -4.451926183581513105e-07
8.307901128276577859e-04 -4.458084108464899949e-07
8.394877015806463151e-04 -4.561000728390338966e-07
8.501901474946947515e-04 -4.687640374123212423e-07
8.582654504333083649e-04 -4.783193625365463230e-07
8.638861771744711822e-04 -4.849702426155364724e-07
8.687370910300676666e-04 -4.907102203466741033e-07
8.688835112835414194e-04 -4.908834761535892238e-07
8.814763919688733355e-04 -5.057843498562392094e-07
8.838912178638568765e-04 -5.086417592587559215e-07
9.066261796869565064e-04 -5.355435304440553650e-07
9.237271238411444256e-04 -5.557786946932040795e-07
9.326494353537254220e-04 -5.663362660946013332e-07
9.329718258082288695e-04 -5.667177434996157138e-07
9.395732739257055483e-04 -5.745290892203524723e-07
9.517841847580879588e-04 -5.889779865500626372e-07
9.760804463229181237e-04 -6.177272087550962525e-07
9.809251961420599551e-04 -6.244416009863741343e-07
9.882012622038549490e-04 -6.345255812254683806e-07
9.884745625740997549e-04 -6.349595779481825151e-07
1.000889416183034031e-03 -6.546741717280110155e-07
1.021894514000788951e-03 -6.880299392486679005e-07
1.043869958841330990e-03 -7.229266026978878468e-07
1.059255557429304587e-03 -7.473586931417990463e-07
1.063267137100102873e-03 -7.537290190527138267e-07
1.063433513784120847e-03 -7.539932226303934500e-07
1.074379976241113862e-03 -7.713760341772374379e-07
1.080041310890858747e-03 -7.803661452479847617e-07
1.094528709810547572e-03 -8.033719086363224498e-07
1.110699986966002129e-03 -8.290516443837805271e-07
1.121142216174305121e-03 -8.456337414009700453e-07
1.121894170078775298e-03 -8.468278324659761611e-07
1.137228308120454608e-03 -8.711782043654860805e-07
1.150131591441879396e-03 -8.916684169061205506e-07
1.171071848043028687e-03 -9.249212175867454605e-07
1.184070126333291876e-03 -9.481799335111604875e-07
1.200143052537328957e-03 -9.769403290270667135e-07
1.201490223078110174e-03 -9.793509141992002570e-07
1.214835426132717701e-03 -1.003230406534217070e-06
1.219633039565892795e-03 -1.011815107174221180e-06
1.231717100048650149e-03 -1.033437950115846946e-06
1.264208046969831408e-03 -1.091576242563477085e-06
1.272747082475581557e-03 -1.106855727789263352e-06
1.273466733119470303e-03 -1.108143448325572237e-06
1.276118173895044545e-03 -1.113398004933620218e-06
1.287330393438005424e-03 -1.136055856498526931e-06
1.291339535611394284e-03 -1.144816268667203583e-06
1.298607253336045951e-03 -1.162145577979444642e-06
1.322401501192621434e-03 -1.223682456343952470e-06
1.323378944960919464e-03 -1.226210329409764572e-06
1.337126399700087160e-03 -1.264577444424282672e-06
1.351384276934592408e-03 -1.304764211757453357e-06
1.368510919487562778e-03 -1.353036783343982967e-06
1.384610122888093892e-03 -1.398413449916816396e-06
1.401804592172471416e-03 -1.446877195619183452e-06
1.402750940713551461e-03 -1.449544541396606399e-06
1.416480855056440709e-03 -1.488243210499097053e-06
1.427855270001079663e-03 -1.520302749195707380e-06
1.427855270001079663e-03 -1.520302749195707380e-06
1.436861490382605180e-03 -1.545687375326988731e-06
1.453041855956599187e-03 -1.594589790658355689e-06
1.453901001190861277e-03 -1.597186411660750154e-06
1.463305855642886002e-03 -1.625610991837305731e-06
1.475509748695587146e-03 -1.662495192258709584e-06
1.468119739979026556e-03 -1.640160142169327421e-06
1.477829903076210115e-03 -1.669507466031836202e-06
