# x0 x1
-1.544935337206868727e-07 0.000000000000000000e+00
-2.115122268674574682e-05 0.000000000000000000e+00
-1.285673477997585070e-04 0.000000000000000000e+00
-2.969742901013298192e-04 3.399784723343200201e-08
-6.908042666337433453e-04 9.998302229652256068e-08
-8.437773075552834146e-04 3.257244289968397267e-07
-9.983136525915806223e-04 4.194324072317319494e-07
-1.180583526788514526e-03 7.971914249051853432e-07
-1.395720921548880425e-03 8.943451882508338512e-07
-1.570555019726638463e-03 9.979443558525597013e-07
-1.752145783195729282e-03 1.312970407330623936e-06
-1.905357916403902950e-03 1.460617418691084140e-06
-2.017468527901867745e-03 1.548100637313371836e-06
-2.105219240118928400e-03 1.628392841730428401e-06
-2.255831100136098440e-03 1.953953709303494398e-06
-2.403640014934765520e-03 2.324687306237332558e-06
-2.522128463417518986e-03 2.430633537782033829e-06
-2.714016928743683606e-03 2.842670242548074953e-06
-2.852770028256355721e-03 3.047607876995613996e-06
-2.995063409285078550e-03 3.949057489763568302e-06
-3.164328938978354811e-03 4.454434927894146015e-06
-3.316812793146974025e-03 4.856776708688092747e-06
-3.411333476337234313e-03 5.062535492967212332e-06
-3.489006332572695303e-03 5.546536979090799134e-06
-3.618571629025990697e-03 5.873989558172490242e-06
-3.588699519567856502e-03 5.738716943741979633e-06
-3.723504061489194689e-03 6.432230095432745341e-06
-3.838568897033069020e-03 6.753110881892531916e-06
-3.876697357140450155e-03 6.855194137451273997e-06
-3.984203640536876541e-03 7.210264508976959993e-06
-4.120434597172185909e-03 8.051605200078407654e-06
-4.254777705627431003e-03 8.529770019807539014e-06
-4.381107067723166021e-03 8.974104610625718243e-06
-4.601084176359662194e-03 9.816875699942820540e-06
-4.733440620546819008e-03 1.033245854867877636e-05
-4.955563952225142121e-03 1.120992696688891937e-05
-5.107454005401948841e-03 1.181405444789676874e-05
-5.267753722005994073e-03 1.245346485147972806e-05
-5.376165922562488667e-03 1.288687016021957676e-05
-5.497398985937183152e-03 1.354337773405842041e-05
-5.613980673639513280e-03 1.400581029483575310e-05
-4.673453446097366668e-03 1.187975944974928273e-05
1.114386929274456539e-01 -9.046446903720603214e-04
1.923239058577547733e-01 -2.391732774122552665e-03
2.746299988930490099e-01 -4.152000030078758369e-03
3.618981657057914192e-01 -6.287973431932350650e-03
4.421222616872090838e-01 -8.685369622602336082e-03
5.212675985595981443e-01 -1.116059797401199039e-02
5.983869834285230338e-01 -1.367133190250684714e-02
