# x0 x1
-1.188606096173883156e-11 0.000000000000000000e+00
-7.887134445571155077e-05 1.217652649363280872e-08
-1.948256447476303993e-04 4.318257687192744488e-08
-3.356955204762673947e-04 6.380099966180601875e-08
-4.793520685626240035e-04 8.924473840909587529e-08
-5.864625521247381242e-04 1.094857763253412256e-07
-7.085528118051472903e-04 1.349436019436923791e-07
-9.159242331678717642e-04 2.811514259039290310e-07
-1.058165996169427346e-03 3.549290016743825840e-07
-1.220109015992007885e-03 3.948251696454698051e-07
-1.352067234159850346e-03 5.930423144523275036e-07
-1.482063229032135315e-03 6.313136991222479550e-07
-1.650365333352065127e-03 8.693795145041954129e-07
-1.798011742584357904e-03 9.420301175116322785e-07
-1.945851481857750927e-03 1.031500604467360023e-06
-2.063238774575999052e-03 1.111174787943030967e-06
-2.183014319278946212e-03 1.369365637856674023e-06
-2.326615508726788753e-03 1.638715941279093748e-06
-2.509317036496031082e-03 1.786792980427094272e-06
-2.614630010006746465e-03 1.877984248940225937e-06
-2.739157875990278889e-03 2.162905648486188255e-06
-2.878034987516192317e-03 2.350298669622838902e-06
-3.054411309429252552e-03 2.545268784699412743e-06
-3.131538869664824646e-03 2.816541965136433424e-06
-3.219281844569599205e-03 2.905365870215022096e-06
-3.232073757284436352e-03 2.909259805160783821e-06
-3.289801401434571098e-03 2.988491950611681959e-06
-3.410766385104273095e-03 3.165201603385210876e-06
-3.477848138644533751e-03 3.264514713912747614e-06
-3.515161882922844799e-03 3.320264680523185136e-06
-3.613275757829633242e-03 3.466818940036737179e-06
-3.701189297064847675e-03 3.598393854499172266e-06
-3.809807028910427561e-03 3.760988431090269714e-06
-3.923433169809129040e-03 3.931224991110654127e-06
-3.942909785145705913e-03 3.960549194059354106e-06
-4.031331818578278922e-03 4.093040886704604258e-06
-4.110291754960822448e-03 4.309906067297543303e-06
-4.280628427731216629e-03 4.724508546636582229e-06
-4.407419486764016341e-03 4.909502495807426124e-06
-4.595700409701773681e-03 5.229608565582917404e-06
-4.711615890363349615e-03 5.432587472706851282e-06
-4.803790705852129840e-03 5.731334949521292997e-06
-4.894900698158130038e-03 5.924755158658278194e-06
-4.940441089746193393e-03 5.992254713021161150e-06
-5.028833712891899940e-03 6.159567459455293000e-06
-5.203087973637326481e-03 6.507267132139615734e-06
-5.326573054286243281e-03 6.756511578050138305e-06
-5.420864616995039326e-03 7.077916521529542690e-06
-5.489973112705303845e-03 7.528944874719352018e-06
-5.628745908114593174e-03 7.798528035024127850e-06
-5.623321822258448531e-03 7.747223020277964225e-06
-5.697340745287504844e-03 8.031153454798323685e-06
-5.785700171111237550e-03 8.268803521618001056e-06
-5.895418080671036183e-03 8.543450875688038317e-06
-6.042739818000404488e-03 8.935831827526555916e-06
-6.145715275238867667e-03 9.214428608785748252e-06
-6.266680076390140040e-03 9.545702636241672654e-06
-6.328727151642243171e-03 9.835704591932262190e-06
-6.402162578209492742e-03 1.005915098800074947e-05
-6.528403113548238851e-03 1.040463578875312759e-05
-6.616290715590801390e-03 1.065231003702652436e-05
-6.728529110322312504e-03 1.122658727988894194e-05
-6.810167590936846115e-03 1.146182944968471146e-05
-6.903026225073010183e-03 1.172697421826258104e-05
-7.018412319034765534e-03 1.208812315253214301e-05
-7.143242045334066530e-03 1.249112091918260496e-05
-7.255478825655243928e-03 1.285809835870452045e-05
-7.375742044298580664e-03 1.339659938362895899e-05
-7.493296945413933756e-03 1.377448113394666611e-05
-7.626492348517126957e-03 1.422085962292696484e-05
-7.710447693373305433e-03 1.450652784236234114e-05
-7.780820950118423965e-03 1.488648929996678810e-05
-7.923303833243511979e-03 2.094551619708303361e-05
-7.650805349782833012e-03 2.637900839314429930e-05
-8.051221658718637694e-03 4.048252271573833856e-05
-8.106571287476211154e-03 5.034411436787844665e-05
-8.176027074496536318e-03 7.244448644257424981e-05
